language,English,German,French,Spanish,Ukranian,Russian,Japanese,Chinese,Korean
Subtitle_2,"0: Hey...
0.7: There might be some crazy stuff going around and... Maybe you should know that too.
7.3: We did an experiment in the past. Our company set out to observe with our friend John. A crazy guy.
16.3: Anyway, he went into a room and when he went in, we locked him in. I know, I know, this may sound cruel, but it was all for scientific reasons.
31: We checked him with our camera to see what might happen if we left someone in a closed room with a ghost.
38.5: He was screaming for help, banging on the door over and over again, but I kept telling him to calm down, we were just doing it all for scientific reasons.
51: I mean, I'm sure he would have done the same thing.
55.6: No one before us did this, it's perfect for our company. The fame... The money...
63.2: Anyway, we looked at the camera for a second and he was just gone. He wasn't there anymore. I called our friends who were keeping an eye on the situation inside.
76.5: But they... they all died... They all died...","0:Hey... es könnte verrückt klingen, aber du solltest dies wissen. In der Vergangenheit führten wir ein Experiment durch. 
8:Wir beobachteten unseren Freund John – ein wirklich verrückter Kerl. Wir sperrten ihn in einem Raum ein, um zu sehen, was passiert, wenn man jemanden mit einem Geist in einem geschlossenen Raum lässt.
23:Er schrie um Hilfe und schlug gegen die Tür, aber wir beruhigten ihn, es passiert alles nur aus wissenschaftlichen Gründen.
30:Keiner hat das je vor uns gemacht – es war perfekt für unsere Firma. Der Ruhm… Das Geld...
40:Doch dann verschwand John plötzlich vor der Kamera.
45:Unsere Freunde, die das Innere überwachten, sind alle gestorben... Sie sind alle gestorben…","0 : Hey...
0.7 : Il se peut qu'il y ait des choses folles qui se passent et... Tu devrais peut-être le savoir aussi.
7.3 : Nous avons fait une expérience dans le passé. Notre entreprise est partie en observation avec notre ami John. Un fou.
16.3 : Quoi qu'il en soit, il est entré dans une pièce et quand il est entré, nous l'avons enfermé. Je sais, je sais, cela peut paraître cruel, mais c'était pour des raisons scientifiques.
31 : Nous l'avons examiné avec notre caméra pour voir ce qui se passerait si nous laissions quelqu'un dans une pièce fermée avec un fantôme.
38.5 : Il criait à l'aide, frappait à la porte encore et encore, mais je lui disais de se calmer, nous faisions tout cela pour des raisons scientifiques.
51 : Je veux dire, je suis sûr qu'il aurait fait la même chose.
55.6 : Personne avant nous n'a fait ça, c'est parfait pour notre entreprise. La célébrité... L'argent...
63.2 : Quoi qu'il en soit, nous avons regardé la caméra pendant une seconde et il n'était plus là. Il n'était plus là. J'ai appelé nos amis qui surveillaient la situation à l'intérieur.
76.5 : Mais ils... ils sont tous morts... Ils sont tous morts...","0: Hey...
0.7: Puede haber algunas cosas locas dando vueltas y... Quizás deberías saberlo también.
7.3: Hicimos un experimento en el pasado. Nuestra compañía se puso a observar con nuestro amigo John. Un tipo loco.
16.3: En fin, entró en una habitación y cuando entró, le encerramos. Lo sé, lo sé, esto puede sonar cruel, pero todo fue por razones científicas.
31: Lo comprobamos con nuestra cámara para ver qué podía pasar si dejábamos a alguien en una habitación cerrada con un fantasma.
38,5: Gritaba pidiendo ayuda, golpeando la puerta una y otra vez, pero yo le decía que se calmara, que lo hacíamos todo por razones científicas.
51: Seguro que él habría hecho lo mismo.
55.6: Nadie antes que nosotros hizo esto, es perfecto para nuestra empresa. La fama... El dinero...
63.2: De todos modos, miramos a la cámara por un segundo y él se había ido. Ya no estaba allí. Llamé a nuestros amigos que estaban vigilando la situación dentro.
76.5: Pero ellos... todos murieron... Todos murieron...","0: Привіт...
0.7: Навколо можуть відбуватися якісь божевільні речі і... Може, тобі теж варто про це знати.
7.3: У минулому ми проводили експеримент. Наша компанія вирішила поспостерігати з нашим другом Джоном. Божевільним хлопцем.
16.3: Так чи інакше, він зайшов у кімнату, і коли він зайшов, ми його замкнули. Знаю, знаю, це може здатися жорстоким, але все це було з наукових міркувань.
31: Ми перевірили його на камеру, щоб побачити, що може статися, якщо залишити когось у закритій кімнаті з привидом.
38.5: Він кричав про допомогу, стукав у двері знову і знову, але я продовжував говорити йому, щоб він заспокоївся, ми робили все це з наукових міркувань.
51: Тобто, я впевнений, що він зробив би те саме.
55.6: Ніхто до нас цього не робив, це ідеально підходить для нашої компанії. Слава... Гроші...
63.2: Так чи інакше, ми подивилися в камеру на секунду, а він просто зник. Його там більше не було. Я подзвонив нашим друзям, які стежили за ситуацією всередині.
76.5: Але вони... вони всі загинули... Вони всі загинули...","0: Эй...
0.7: Возможно, вокруг творится какое-то безумие и... Может, тебе тоже стоит об этом знать.
7.3: В прошлом мы провели эксперимент. Наша компания отправилась наблюдать за нашим другом Джоном. Сумасшедший парень.
16.3: В общем, он зашел в комнату, а когда зашел, мы его заперли. Знаю, знаю, это может показаться жестоким, но все это было сделано из научных соображений.
31: Мы проверили его с помощью камеры, чтобы узнать, что может произойти, если оставить человека в закрытой комнате с призраком.
38.5: Он кричал о помощи, снова и снова стучал в дверь, но я твердил ему, чтобы он успокоился, мы просто делали это из научных соображений.
51: То есть я уверен, что он поступил бы так же.
55.6: Никто до нас не делал этого, это идеально подходит для нашей компании. Слава... Деньги...
63.2: В общем, мы на секунду посмотрели в камеру, и он просто исчез. Его там больше не было. Я позвонил нашим друзьям, которые следили за ситуацией внутри.
76.5: Но они... они все умерли... Они все умерли...","0: おい...
0.7: おかしなことが起きてるかもしれないし... それも知っておいたほうがいいかもね。
7.3: 昔、ある実験をしました。うちの会社は友人のジョンと一緒に観察に出かけたんだ。クレイジーな奴だ。
16.3：とにかく、彼はある部屋に入り、中に入ると、私たちは彼を閉じ込めた。残酷に聞こえるかもしれないが、すべて科学的な理由からだ。
31: もし誰かを幽霊のいる密室に放置したらどうなるか、カメラで彼をチェックしたんだ。
38.5: 彼は助けを求めて叫び、何度も何度もドアを叩いていましたが、私は彼に落ち着くように言い続けました。
51: つまり、彼だってきっと同じことをしたと思うよ。
55.6：私たちの前には誰もこんなことはしていない、私たちの会社にとっては完璧なことだ。名声... 金も...
63.2: とにかく、私たちは一瞬カメラを見ただけで、彼は消えてしまった。彼はもうそこにはいなかった。中の状況を監視していた友人たちに電話したんだ。
76.5：でも彼らは...みんな死んだ...。みんな死んだ...","0: 嘿……
0.7: 可能有些疯狂的事情正在发生……也许你也应该知道。
7.3: 我们过去做过一个实验。我们公司和我们的朋友约翰一起出发进行观察。一个疯狂的家伙。
16.3: 不管怎样，他进入了一个房间，当他进去时，我们把他锁在里面。我知道，我知道，这听起来可能很残忍，但这都是出于科学原因。
31: 我们通过摄像头检查他，看看如果我们把一个人留在一个有鬼的封闭房间里会发生什么。
38.5: 他不停地尖叫求救，一遍又一遍地敲门，但我一直告诉他冷静下来，我们这样做都是出于科学原因。
51: 我的意思是，我确信他也会做同样的事情。
55.6: 在我们之前没有人这么做过，这对我们公司来说是完美的。名声……钱……
63.2: 不管怎样，我们看了一下摄像头，他突然不见了。他不在那里了。我打电话给我们的朋友，他们在内部监控情况。
76.5: 但是他们……他们都死了……他们都死了……","0: 이봐요...
0.7: 이상한 일들이 벌어지고 있는데... 너도 알아야 할 것 같아.
7.3: 예전에 실험을 한 적이 있어요. 우리 회사는 친구 존과 함께 관찰을 시작했어. 미친놈이었죠.
16.3: 어쨌든, 그가 방에 들어갔고, 우리가 그를 가뒀어요. 잔인하게 들릴 수도 있겠지만 과학적인 이유 때문이었어요.
31: 유령이 있는 밀폐된 방에 사람을 남겨두면 어떤 일이 일어날지 알아보기 위해 카메라로 그를 확인했습니다.
38.5: 그는 계속 문을 두드리며 도와달라고 비명을 질렀지만 저는 계속 진정하라고 말했고, 과학적인 이유 때문에 그렇게 한 거예요.
51: 제 말은, 그 사람도 똑같이 했을 거라고 확신합니다.
55.6: 우리 전에는 아무도 이런 일을 하지 않았고, 우리 회사에 딱 맞는 일이에요. 명성... 돈...
63.2: 어쨌든 카메라를 잠깐 쳐다봤더니 그는 사라졌어요. 그는 더 이상 거기 없었죠. 저는 안에서 상황을 지켜보고 있던 친구들에게 전화를 걸었어요.
76.5: 하지만 그들은... 모두 죽었어요... 모두 죽었어요..."
Subtitle_3,"0: You can't escape me
3.5: You will never escape
7: I will always be there
10.5: Don't hide!","0:Du kannst mir nicht entkommen. Du wirst niemals entkommen. Ich werde immer da sein. Versteck dich nicht!
12:DU_WIRST_STERBEN","0 : Tu ne peux pas m'échapper
3.5 : Tu ne m'échapperas jamais
7 : Je serai toujours là
10.5 : Ne te cache pas !","0: No podrás escapar de mí
3.5: Nunca escaparás
7: Siempre estaré ahí
10.5: ¡No te escondas!","0: Ти не можеш втекти від мене
3.5: Ти ніколи не втечеш
7: Я завжди буду поруч
10.5: Не ховайся!","0: От меня не убежишь
3,5: Ты никогда не сбежишь
7: Я всегда буду рядом
10.5: Не прячься!","0: あなたは私から逃れられない
3.5：あなたは決して逃げられない
7：私はいつもそこにいる
10.5：隠れないで","0: 你逃不出我的手掌心
3.5：你永远逃不掉
7：我永远在你身边
10.5: 不要躲藏","0: 넌 나를 피할 수 없어
3.5: 넌 절대 도망칠 수 없어
7: 난 항상 거기 있을 거야
10.5: 숨지 마!"
language_2,Language: French,Sprache: Französisch,Langue : Français,Idioma: Francés,Мова: французька,язык: Французский,言語：フランス語,语言：法语,언어: 프랑스어
language_3,Language: Spanish,Sprache: Spanisch,Langue : Espagnol,Idioma: Español,Мова: іспанська,язык: Испанский,言語：スペイン語,语言：西班牙语,언어: 스페인어
language_4,Language: Ukrainian,Sprache: Ukrainisch,Langue : Ukrainien,Idioma: Ucraniano,Мова: українська,язык: Украинский,言語：ウクライナ語,语言：乌克兰语,언어: 우크라이나어
language_5,Language: Russian,Sprache: Russisch,Langue : Russe,Idioma: Ruso,Мова: російська,язык: Русский,言語：ロシア語,语言：俄语,언어: 러시아어
language_6,Language: Japanese,Sprache: Japanisch,Langue : Japonais,Idioma: Japonés,Мова: японська,язык: Японский,言語：日本語,语言：日语,언어: 일본어
language_7,Language: Chinese,Sprache: Chinesisch,Langue : Chinois,Idioma: Chino,Мова: китайська,язык: Китайский,言語：中国語,语言：中文,언어: 중국어
language_8,Language: Korean,Sprache: Koreanisch,Langue : Coréen,Idioma: Coreano,Мова: корейська,язык: Корейский,言語：韓国語,语言：韩语,언어: 한국어
information,Information,Informationen,Information,Información,Інформація,Информация,インフォメーション,信息,정보
sanity,Sanity,Verstand,raison,sanidad,розсудливість,рассудок,正気,理智,정신
mission,Mission,Mission,Mission,Misión,Місія,Миссия,任務,使命,미션
esc_leave,Press again ESC to leave…,Drücken Sie erneut ESC zum Verlassen…,Appuyez à nouveau sur ESC pour quitter…,Pulse de nuevo ESC para salir…,"Натисніть ще раз ESC, щоб вийти…","Нажмите еще раз ESC, чтобы выйти…",もう一度ESCキーを押して終了する。,再次按下 ESC 离开…,ESC를 다시 눌러 나가려면…
empty,,,,,,,,,
empty,,,,,,,,,
